kanton_kurz,kanton,durchschnittsalter,jahr
gr,Graubünden,43.6929,2015
tg,Thurgau,41.559,2015
lu,Luzern,41.3012,2015
ur,Uri,42.8416,2015
sz,Schwyz,41.9965,2015
ow,Obwalden,41.944,2015
nw,Nidwalden,43.2639,2015
zg,Zug,41.6144,2015
ti,Tessin,44.5745,2015
schweiz,Schweiz,41.9882,2015
vd,Waadt,40.375232055768436,2014
vs,Wallis,42.08936396462314,2014
ge,Genf,40.786139042003285,2014
be,Bern,43.26719503124213,2014
fr,Freiburg,39.619952053365616,2014
so,Solothurn,42.94928362529015,2014
ne,Neuenburg,41.60874464037029,2014
ju,Jura,42.405926031296836,2014
bs,Basel-Stadt,43.80296830562344,2014
bl,Basel-Landschaft,43.88619823706464,2014
ag,Aargau,41.53025369486715,2014
zh,Zürich,41.37907888213376,2014
gl,Glarus,42.74375592135059,2014
sh,Schaffhausen,43.55141840864566,2014
ar,Appenzell A.Rh.,42.67240725870959,2014
ai,Appenzell I.Rh.,41.234159215048194,2014
sg,St. Gallen,41.26744345260806,2014
gr,Graubünden,43.44799268123252,2014
tg,Thurgau,41.3882418948832,2014
lu,Luzern,41.16324030957411,2014
ur,Uri,42.64157404724711,2014
sz,Schwyz,41.74714831365956,2014
ow,Obwalden,41.697190343431984,2014
nw,Nidwalden,43.11711850795863,2014
zg,Zug,41.47279783195229,2014
ti,Tessin,44.39356297988478,2014
schweiz,Schweiz,41.88528150364241,2014
vd,Waadt,40.27600222010107,2013
vs,Wallis,41.88665189719418,2013
ge,Genf,40.71015901373912,2013
be,Bern,43.139666928422756,2013
fr,Freiburg,39.48426287680208,2013
so,Solothurn,42.77855011289538,2013
ne,Neuenburg,41.50823939291466,2013
ju,Jura,42.21375544118412,2013
bs,Basel-Stadt,43.853250086738356,2013
bl,Basel-Landschaft,43.76515449092545,2013
ag,Aargau,41.376028212495754,2013
zh,Zürich,41.341466489419055,2013
gl,Glarus,42.570846393531234,2013
sh,Schaffhausen,43.417390142554325,2013
ar,Appenzell A.Rh.,42.50412872873494,2013
ai,Appenzell I.Rh.,41.004702063213365,2013
sg,St. Gallen,41.085264097475324,2013
gr,Graubünden,43.19911233074692,2013
tg,Thurgau,41.20951083255666,2013
lu,Luzern,40.98747221751405,2013
ur,Uri,42.42593275813121,2013
sz,Schwyz,41.450160499152396,2013
ow,Obwalden,41.39001537784709,2013
nw,Nidwalden,42.812227586115235,2013
zg,Zug,41.33218627721728,2013
ti,Tessin,44.1776527905571,2013
schweiz,Schweiz,41.75983606026255,2013
vd,Waadt,40.24466467907163,2012
vs,Wallis,41.73770288424636,2012
ge,Genf,40.62812757940491,2012
be,Bern,43.03825092331122,2012
